Parameter,Range,Step
Crust density (kg/cm3) (ρc),[2.6 3.0],–
Birch law origin (a),[−10.74 −7.41],–
Birch law slope (b),[4.58 5.57],–
 law origin (A),[1.0 2.95],–
 law slope (km−1) (B),[−0.000662 0.0004],–
Core radius (km) (Rcore),[250 490],5

Event name,Lat. (deg),Long. (deg),Depth (km),Δlat. (deg),Δlon. (deg),Δdepth (km),Init. # stat.,# Stat. sel.,Max (s),Std (s)
A01,−17.44,−38.37,917,1.1,0.6,11,4,4,1.82,1.1
A05,−31.04,−44.92,902,3,3,80,2,2,1.34,–
A06,49.7,54.69,860,1,0.7,11,4,4,1.57,0.9
A07,23.97,53.7,900,0.8,0.7,12,4,4,1,0.94
A08,−27.97,−28.08,940,2,1.2,21,1,1,–,–
A09,−37.8,−30.85,975,4,2.6,43,3,2,8.56,–
A10,34.01,−28.04,1139,3,3,80,2,2,0.57,–
A11,9.6,19.49,1233,0.8,0.7,12,3,2,0.73,–
A14,−28.7,−33.94,880,1.7,1.3,22,3,2,4.34,–
A15,−0.94,−2.96,885,3,3,80,3,3,13.39,8.8
A16,6.79,5.14,1105,1.2,0.7,18,3,3,2.26,1.55
A17,23.08,−17.97,861,2.6,0.4,15,3,3,7.51,5.27
A18,18.56,34.72,882,1.8,0.9,24,3,2,3.4,–
A19,15.96,37.91,841,3,3,80,3,2,9.46,–
A20,21.72,−41.01,1055,2.4,0.8,13,3,3,4.32,2.83
A21,−15.8,−43.49,1060,3,3,80,2,1,–,–
A24,−36.85,−38.9,980,2.1,1.7,32,4,3,4.91,2.49
A25,34.4,59.3,898,2,1.7,26,4,4,2.57,2.1
A26,12.19,10.22,1135,1.5,0.7,20,3,2,1.5,–
A27,22.51,18.53,1059,1.9,1.4,14,4,2,3.49,–
A28,32.69,11.64,720,3,3,80,3,1,–,–
A30,11.78,−34.26,921,1.5,1,23,4,4,1.87,2.03
A33,6.89,117.75,887,1.5,1.3,30,3,2,0.46,–
A34,7.04,−9.28,932,1.2,0.6,26,3,3,3.8,2.58
A41,13.9,−26.79,953,5.6,2.2,84,3,1,–,0
A42,22.68,−53.46,1004,1.8,1.4,24,3,2,3.94,–
A44,51.85,57.08,956,5.8,1.9,20,3,3,1.98,0.78

Station name,X azimuth (in deg.),Y azimuth (in deg.)
S12,180,270
S14,0,90
S15,0,90
S16,334.5,64.5

Event name,Lat. (θ) (in °),Long. (ϕ) (in °),Depth (z) (in km),σθ (in °),σϕ (in °),σz (in km),Origin date,Origin time (in s),σto(in s)
12LM,−3.94,−21.20,0.0,0.00,0.00,0.0,6911202217,17.70,0.00
13S4,−2.75,−27.86,0.0,0.00,0.00,0.0,7004150209,41.00,0.00
14S4,−8.09,−26.02,0.0,0.00,0.00,0.0,7102040740,55.40,0.00
14LM,−3.42,−19.67,0.0,0.00,0.00,0.0,7102070045,25.70,0.00
15S4,−1.51,−11.81,0.0,0.00,0.00,0.0,7107292058,42.90,0.00
15LM,26.36,0.25,0.0,0.00,0.00,0.0,7108030303,37.00,0.00
16S4,1.30,−23.80,0.0,0.00,0.00,0.0,7204192102,4.00,0.00
17S4,−4.21,−12.31,0.0,0.00,0.00,0.0,7212102032,42.30,0.00
M1,73.52,2.79,0.0,0.64,2.77,0.0,7201040631,19.80,2.48
M2,1.55,−16.91,0.0,0.19,0.19,0.0,7205130846,39.04,0.56
M3,33.02,137.22,0.0,0.93,1.02,0.0,7207172150,56.66,1.29
M4,23.92,10.08,0.0,0.27,0.52,0.0,7207311808,15.23,1.68
M5,15.69,22.44,0.0,1.35,1.21,0.0,7208292258,33.50,2.85
M6,28.85,40.68,0.0,2.51,1.12,0.0,7309262046,16.32,2.88
M7,−24.60,−24.87,0.0,1.00,1.94,0.0,7312241003,19.38,2.93
M8,7.45,−33.32,0.0,0.65,0.90,0.0,7404191830,3.11,2.75
M9,20.23,6.46,0.0,0.41,0.63,0.0,7407171205,2.54,1.57
M10,−7.28,19.78,0.0,0.85,0.72,0.0,7411211315,40.51,2.45
M11,1.68,−8.15,0.0,0.87,0.39,0.0,7412150907,15.15,1.74
M12,−51.80,4.16,0.0,1.22,2.37,0.0,7503052149,22.25,2.92
M13,2.43,43.31,0.0,0.52,0.97,0.0,7504121812,38.22,2.92
M14,−37.16,−121.04,0.0,1.45,1.20,0.0,7505040959,28.51,2.34
M15,−39.24,62.77,0.0,1.79,1.46,0.0,7601130711,22.96,2.63
M16,−16.62,−9.87,0.0,0.96,0.68,0.0,7605280601,56.29,2.44
M17,23.69,−73.88,0.0,1.02,0.99,0.0,7611142313,6.60,2.38
M18,−20.39,−64.47,0.0,0.72,0.94,0.0,7704172332,6.87,2.44
M19,−13.06,−74.91,0.0,5.66,1.23,0.0,7706282222,31.15,2.86
SH1,12.78,50.78,15.9,1.42,2.69,68.6,7209171435,2.96,7.31
SH2,47.79,38.06,8.8,3.14,3.32,37.5,7212062308,33.52,8.23
SH3,−84.71,−137.13,71.3,0.85,1.48,38.6,7303130756,23.63,4.35
SH4,22.35,82.93,0.0,1.66,2.34,7.6,7407110046,19.16,6.53
SH5,26.32,−92.28,0.0,1.58,2.40,6.3,7501030141,56.19,5.10
SH6,65.81,58.96,20.3,1.02,1.13,13.3,7501120313,48.28,4.58
SH7,−16.93,−25.84,127.6,1.62,1.95,85.1,7502132203,50.43,6.68
SH8,44.15,33.94,168.1,2.31,1.84,94.4,7601041118,55.38,6.72
SH9,52.30,−25.83,136.3,0.77,1.08,37.3,7603061012,23.38,2.77
SH10,−18.71,−12.92,79.3,1.13,1.21,80.7,7603081442,10.63,5.28
A01,−17.31,−38.21,918.5,0.58,0.87,8.0,7309300410,58.29,1.40
A06,49.68,54.65,861.2,0.76,0.75,8.1,7607021052,23.70,1.16
A07,23.98,53.64,901.0,0.64,0.62,8.9,7607020311,22.88,1.18
A08,−27.99,−28.03,939.9,1.61,1.34,18.4,7705161052,28.80,3.00
A09,−37.71,−30.71,974.5,2.21,3.30,33.8,7704161958,3.76,4.89
A11,9.29,17.47,1200.4,0.68,0.76,10.3,7706180501,15.12,2.03
A14,−28.65,−33.80,880.6,1.22,1.32,15.8,7305281853,12.49,3.13
A16,6.83,5.07,1104.2,0.63,0.91,13.4,7210081524,35.05,2.04
A17,23.09,−18.00,861.1,1.20,1.32,13.3,7211070852,7.86,2.14
A18,18.56,34.66,882.1,1.39,0.92,18.6,7301052250,29.71,2.17
A20,21.72,−40.88,1055.3,0.63,1.83,10.5,7205151718,6.50,2.58
A24,−36.76,−38.81,980.1,1.79,1.68,26.2,7706121817,37.99,3.62
A25,34.33,59.23,899.3,1.52,1.35,19.4,7706092015,6.64,2.32
A26,12.14,10.13,1135.0,0.88,1.03,16.7,7706201450,48.48,3.08
A27,22.48,18.47,1058.7,1.29,1.53,11.0,7705160001,51.18,1.83
A30,11.81,−34.21,921.4,1.00,1.09,16.5,7205170042,45.35,2.37
A33,6.91,117.72,888.1,1.03,1.15,21.5,7210111935,44.93,2.37
A34,7.04,−9.29,931.4,0.65,0.82,18.3,7206141834,26.91,2.89
A40,−1.60,−10.93,885.4,0.88,0.62,17.5,7306272348,35.15,3.05
A41,13.88,−26.64,951.8,2.43,3.31,48.1,7206081616,24.56,7.43
A42,22.69,−53.38,1004.6,1.37,1.32,17.2,7305030152,34.84,2.44
A44,51.51,56.86,956.8,4.06,2.42,14.6,7405190309,3.63,3.71
A50,9.41,−51.45,835.5,1.23,1.63,21.5,7304300105,25.53,4.69
A51,8.85,15.75,887.1,0.55,0.83,18.4,7402180835,27.18,3.41
A84,−10.03,−31.76,862.2,1.97,2.43,17.3,7607221946,28.41,4.56
A85,27.90,59.16,801.7,1.38,2.87,20.2,7707191037,50.84,8.21
A97,−3.39,18.66,999.9,1.74,2.06,18.9,7705190608,21.00,3.51

Station name,P cor. (in s),P cor. error (in s),S cor. (in s),S cor. error (in s)
S12,−1.034,0.250,−0.229,0.462
S14,1.162,0.230,−0.584,0.413
S15,−0.298,0.279,−0.950,0.468
S16,0.171,0.758,1.763,1.344

Radius (in km),VP (in km/s),VS (in km/s),Density (in kg/cm3),QP,QS,Radius (in km),Density (in kg/cm3),Gravity (m/s2),Pressure (in GPa)
1737.1,1.00,0.50,2.600,6750.0,6750.0,1737.1,2.600,1.6248,0.0000
1736.1,1.00,0.50,2.600,6750.0,6750.0,1736.1,2.600,1.6245,0.0056
1736.1,3.20,1.80,2.762,6750.0,6750.0,1736.1,2.762,1.6245,0.0056
1725.1,3.20,1.80,2.762,6750.0,6750.0,1725.1,2.762,1.6196,0.0781
1725.1,5.50,3.30,2.762,6750.0,6750.0,1725.1,2.762,1.6196,0.0781
1709.1,5.50,3.30,2.762,6750.0,6750.0,1709.1,2.762,1.6127,0.1825
1709.1,7.54,4.34,3.312,6750.0,6750.0,1697.1,2.762,1.6076,0.2599
1697.1,7.55,4.34,3.314,6750.0,6750.0,1697.1,3.314,1.6076,0.2599
1671.7,7.57,4.35,3.318,9000.0,4000.0,1671.7,3.318,1.5851,0.5086
1647.1,7.59,4.36,3.322,9000.0,4000.0,1647.1,3.322,1.5632,0.7470
1627.1,7.61,4.37,3.325,9000.0,4000.0,1627.1,3.325,1.5454,0.9389
1607.1,7.63,4.38,3.329,9000.0,4000.0,1607.1,3.329,1.5276,1.1290
1587.1,7.64,4.39,3.332,9000.0,4000.0,1587.1,3.332,1.5098,1.3174
1567.1,7.66,4.40,3.335,9000.0,4000.0,1567.1,3.335,1.4920,1.5040
1547.1,7.68,4.40,3.338,9000.0,4000.0,1547.1,3.338,1.4741,1.6888
1527.1,7.69,4.41,3.341,9000.0,4000.0,1527.1,3.341,1.4562,1.8718
1502.0,7.71,4.42,3.344,9000.0,4000.0,1502.0,3.344,1.4338,2.0988
1487.1,7.72,4.43,3.346,9000.0,4000.0,1487.1,3.346,1.4204,2.2321
1461.7,7.74,4.44,3.350,3375.0,1500.0,1461.7,3.350,1.3976,2.4570
1447.1,7.75,4.44,3.352,3375.0,1500.0,1447.1,3.352,1.3845,2.5848
1427.1,7.77,4.45,3.355,3375.0,1500.0,1427.1,3.355,1.3666,2.7583
1407.1,7.78,4.45,3.357,3375.0,1500.0,1407.1,3.357,1.3486,2.9297
1387.1,7.80,4.46,3.360,3375.0,1500.0,1387.1,3.360,1.3306,3.0992
1367.1,7.81,4.47,3.363,3375.0,1500.0,1367.1,3.363,1.3126,3.2666
1347.1,7.82,4.47,3.365,3375.0,1500.0,1347.1,3.365,1.2946,3.4320
1327.1,7.84,4.48,3.368,3375.0,1500.0,1327.1,3.368,1.2766,3.5954
1307.1,7.85,4.49,3.370,3375.0,1500.0,1307.1,3.370,1.2586,3.7566
1287.1,7.86,4.49,3.373,3375.0,1500.0,1287.1,3.373,1.2405,3.9157
1267.1,7.88,4.50,3.375,3375.0,1500.0,1267.1,3.375,1.2225,4.0728
1252.0,7.88,4.50,3.377,3375.0,1500.0,1252.0,3.377,1.2089,4.1899
1231.7,7.90,4.51,3.379,1125.0,500.0,1231.7,3.379,1.1906,4.3454
1207.1,7.91,4.51,3.382,1125.0,500.0,1207.1,3.382,1.1685,4.5308
1187.1,7.92,4.52,3.384,1125.0,500.0,1187.1,3.384,1.1505,4.6791
1167.1,7.94,4.53,3.386,1125.0,500.0,1167.1,3.386,1.1325,4.8252
1147.1,7.95,4.53,3.388,1125.0,500.0,1147.1,3.388,1.1145,4.9690
1127.1,7.96,4.54,3.391,1125.0,500.0,1127.1,3.391,1.0965,5.1106
1107.1,7.97,4.54,3.393,1125.0,500.0,1107.1,3.393,1.0786,5.2499
1087.1,7.98,4.54,3.395,1125.0,500.0,1087.1,3.395,1.0606,5.3869
1067.1,7.99,4.55,3.397,1125.0,500.0,1067.1,3.397,1.0427,5.5215
1047.1,8.00,4.55,3.398,1125.0,500.0,1047.1,3.398,1.0249,5.6539
1027.1,8.01,4.56,3.400,1125.0,500.0,1027.1,3.400,1.0070,5.7838
1002.0,8.02,4.56,3.403,1125.0,500.0,1002.0,3.403,0.9847,5.9436
987.1,8.03,4.57,3.404,1125.0,500.0,987.1,3.404,0.9715,6.0367
961.7,8.04,4.57,3.406,675.0,300.0,961.7,3.406,0.9490,6.1922
947.1,8.05,4.57,3.408,675.0,300.0,947.1,3.408,0.9361,6.2798
927.1,8.06,4.58,3.409,675.0,300.0,927.1,3.409,0.9185,6.3977
907.1,8.07,4.58,3.411,675.0,300.0,907.1,3.411,0.9010,6.5132
887.1,8.08,4.58,3.413,675.0,300.0,887.1,3.413,0.8835,6.6262
867.1,8.08,4.59,3.414,675.0,300.0,867.1,3.414,0.8662,6.7367
847.1,8.09,4.59,3.416,675.0,300.0,847.1,3.416,0.8489,6.8446
827.1,8.10,4.59,3.417,675.0,300.0,827.1,3.417,0.8318,6.9500
807.1,8.11,4.60,3.419,675.0,300.0,807.1,3.419,0.8147,7.0529
787.1,8.12,4.60,3.420,675.0,300.0,787.1,3.420,0.7978,7.1531
767.1,8.12,4.60,3.421,675.0,300.0,767.1,3.421,0.7811,7.2508
747.1,8.13,4.61,3.423,675.0,300.0,747.1,3.423,0.7645,7.3458
727.1,8.14,4.61,3.424,675.0,300.0,727.1,3.424,0.7481,7.4382
707.1,8.14,4.61,3.425,675.0,300.0,707.1,3.425,0.7320,7.5280
687.1,8.15,4.61,3.427,675.0,300.0,687.1,3.427,0.7160,7.6150
667.1,8.16,4.62,3.428,675.0,300.0,667.1,3.428,0.7004,7.6992
647.1,8.16,4.62,3.429,675.0,300.0,647.1,3.429,0.6850,7.7808
627.1,8.17,4.62,3.430,675.0,300.0,627.1,3.430,0.6700,7.8595
607.1,8.18,4.62,3.431,675.0,300.0,607.1,3.431,0.6554,7.9354
587.1,8.18,4.62,3.433,675.0,300.0,587.1,3.433,0.6413,8.0085
567.1,8.19,4.63,3.434,675.0,300.0,567.1,3.434,0.6277,8.0786
547.1,8.19,4.63,3.435,675.0,300.0,547.1,3.435,0.6147,8.1458
527.1,8.20,4.63,3.436,675.0,300.0,527.1,3.436,0.6024,8.2100
507.1,8.20,4.63,3.437,675.0,300.0,507.1,3.437,0.5909,8.2711
487.1,8.21,4.63,3.438,675.0,300.0,487.1,3.438,0.5804,8.3291
467.1,8.21,4.63,3.438,675.0,300.0,467.1,3.438,0.5710,8.3839
447.1,8.22,4.63,3.439,675.0,300.0,447.1,3.439,0.5629,8.4353
427.1,8.22,4.64,3.440,675.0,300.0,427.1,3.440,0.5564,8.4834
407.1,8.23,4.64,3.441,675.0,300.0,407.1,3.441,0.5518,8.5279
387.1,8.23,4.64,3.442,675.0,300.0,387.1,3.442,0.5495,8.5687
380.0,8.23,4.64,3.442,675.0,300.0,380.0,3.442,0.5494,8.5823
380.0,?,0.0?,5.171,10000.0,10000.0,380.0,5.171,0.5494,8.5823
0.0,?,?,5.171,10000.0,10000.0,0.0,5.171,0.0000,9.6618

